date,transaction_type,platform,fund_id,counterparty_fund_id,wallet_id,cryptocurrency,account_name,debit_crypto,credit_crypto,eth_usd_price,debit_USD,credit_USD,hash,event,loan_id,lender,borrower,from,to,contract_address,payable_currency,collateral_address,token_id,principal_crypto,principal_USD,payoff_amount_crypto,payoff_amount_USD,annual_interest_rate,loan_due_date,tranche_floor,tranche_index,fund_role,origination_fee,net_origination_fee,source_file,notes
2025-02-27 01:28:23+00:00,investments_lending,Gondi,holdings_class_B_ETH,,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,WETH,loan_receivable_cryptocurrency_weth,27.55,0,2350.0997,64745.24674,0,0x3e5973d4ca4d0b9fe62dba93891c86cca8643f08136e6ebe5e2cda381b5406a6,LoanRefinancedFromNewOffers_origination,2691,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xf65b99ce6dc5f6c556172bcc0ff27d3665a7d9a8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,7587,27.55,64745.24674,27.83757671,65421.08068,12.7,2025-03-29 01:28:23+00:00,0,0,lender,,,20240709_20250930_refinances_journals.csv,
2025-02-27 01:28:23+00:00,investments_lending,Gondi,holdings_class_B_ETH,,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,WETH,deemed_cash_usd,0,27.5,2350.0997,0,64627.74175,0x3e5973d4ca4d0b9fe62dba93891c86cca8643f08136e6ebe5e2cda381b5406a6,LoanRefinancedFromNewOffers_origination,2691,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xf65b99ce6dc5f6c556172bcc0ff27d3665a7d9a8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,7587,27.55,64745.24674,27.83757671,65421.08068,12.7,2025-03-29 01:28:23+00:00,0,0,lender,,,20240709_20250930_refinances_journals.csv,
2025-02-27 01:28:23+00:00,investments_lending,Gondi,holdings_class_B_ETH,,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,WETH,interest_income_cryptocurrency_weth,0,0.05,2350.0997,0,117.504985,0x3e5973d4ca4d0b9fe62dba93891c86cca8643f08136e6ebe5e2cda381b5406a6,LoanRefinancedFromNewOffers_origination,2691,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xaf06781d59a84ddef1bc126a14a098e0d3bce905,0xd79b937791724e47f193f67162b92cdfbf7abdfd,0xf65b99ce6dc5f6c556172bcc0ff27d3665a7d9a8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,7587,27.55,64745.24674,27.83757671,65421.08068,12.7,2025-03-29 01:28:23+00:00,0,0,lender,,,20240709_20250930_refinances_journals.csv,
